session_date,S02_range_location__passive__d5,S06_vwap_displacement_q99__passive__d5,S07_market_residual_q99__market__d5,S08_breadth_reversal_q99__market__d0,S09_gap_reaction_q95__passive__d5,S01_session_momentum__passive__d0,S05_volume_confirmed_q95__market__d0,S04_extreme_momentum_q95__market__d0,S03_opening_continuation_q95__passive__d5,S10_bar_structure_q99__market__d5
2025-05,0.0013530759473503462,0.0,-0.0011750866091873036,0.0003452943268702491,5.8207690019740355e-05,0.002533346421305316,-0.007382190740396699,-0.003990145324935024,-0.0007383442177828492,-0.004101806179858336
2025-06,0.00014008549749400245,0.0013878996038321212,-0.00019060780177304615,-0.00012292356646537161,0.0,0.024081884851465674,0.004386278881896022,-0.0017233826154382514,0.010009190852279692,0.0017742630547334937
2025-07,-0.0010115161227246539,-0.013055617772006034,-0.003147786628665883,0.0,0.0002443298150840434,-0.014236799403523404,-0.010648154576485935,-0.0026319290733469725,0.00048457913652977247,-0.003989379310370467
2025-08,-0.0016452763656829017,-0.0045313049590058885,-0.003304914232881151,0.0024572591601652594,0.0038232830189695033,-0.021600751142630603,-0.002970919147756934,-0.0060105220933576176,-0.002010065812761641,-0.0009177192655324129
2025-09,0.002128021333646535,0.01723006188196119,0.0010990319894341738,-0.000319885145917298,0.0028126860486110683,0.005678162010472887,0.0022636844142180923,0.0004965068952296203,-0.0003172999490620443,-0.00011606864256430427
2025-10,-0.00029985679430921675,-0.006327975274680986,0.006047746867728021,0.002558051505074932,0.0,-0.016341125774917864,0.014539893710798779,0.019679332930271576,0.0017636516964243398,-0.0017444605682653824
2025-11,0.003971022365878207,-0.0033796101662311173,-0.0033069936892914376,-0.0006674383642454318,-0.0001553950059666187,0.0026941243327684994,0.006134848826550021,0.007088997992290569,0.0006151586574434376,-0.0020494292477204468
2025-12,-0.0005762919985874415,-0.016680073170226017,-0.0006174294250208545,8.23005362491358e-05,-0.0003732614165201653,-0.019163812951147885,0.00714045582492151,0.008768031732180326,-0.000289636478219335,0.0010207825312891217
2026-01,0.002613555053757377,-0.011774459231257639,0.0035060639630128954,-0.0065582385580241764,0.002736553981295353,0.016389048166957743,0.030714126465254843,0.026098796752701325,0.00039967983826283415,0.005645836007561522
2026-02,-0.0013632347479275442,0.022795118644848955,0.00016898262094344751,0.004000364662953393,0.0039107037124817,0.010296541260609082,-0.005453204449183624,0.013615060970789461,-0.0003937690635094082,0.0140841357868291
2026-03,-0.003011080259371024,0.0005571864154865214,-0.0004595076536199061,0.0002100891887419909,0.0006958855199272751,-0.008634105884941401,0.0029514976890239186,-0.006530339619460257,4.1789634677380505e-05,-5.46197990995978e-05
2026-04,-0.001307161138918711,0.0017490029509521499,0.009390632320282366,0.006989387787452506,0.0010550760508940549,0.0028240142419511116,-0.003403569529077055,-0.008909476791425064,-0.0007010461636004495,0.005095567384832522
